scene00.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, Italian city plaza, vacation turning ominous
scene01.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, Italian city plaza, vacation turning ominous
scene02.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, Italian city plaza, vacation turning ominous
scene03.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, Italian city plaza, vacation turning ominous
scene04.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, Italian city plaza, vacation turning ominous
scene05.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, chaotic crowd, outbreak in progress
scene06.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, chaotic crowd, outbreak in progress
scene07.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, chaotic crowd, outbreak in progress
scene08.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, chaotic crowd, outbreak in progress
scene09.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, chaotic crowd, outbreak in progress
scene10.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, military containment camp, tents and barbed wire
scene11.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, military containment camp, tents and barbed wire
scene12.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, military containment camp, tents and barbed wire
scene13.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, military containment camp, tents and barbed wire
scene14.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, military containment camp, tents and barbed wire
scene15.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, dark sewers and escape tunnels, tension and fear
scene16.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, dark sewers and escape tunnels, tension and fear
scene17.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, dark sewers and escape tunnels, tension and fear
scene18.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, dark sewers and escape tunnels, tension and fear
scene21.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, abandoned laboratory, old research facility
scene22.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, abandoned laboratory, old research facility
scene23.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, abandoned laboratory, old research facility
scene24.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, abandoned laboratory, old research facility
scene25.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, mountainous border crossing, harsh weather
scene26.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, mountainous border crossing, harsh weather
scene27.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, mountainous border crossing, harsh weather
scene28.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, mountainous border crossing, harsh weather
scene31.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, rural refuge, small village under threat
scene32.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, rural refuge, small village under threat
scene33.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, dangerous negotiation with rebels or mercenaries
scene34.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, dangerous negotiation with rebels or mercenaries
ending_good.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, hopeful sunrise over survivors, silhouette of family, vaccine success
ending_escape.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, small rural village sanctuary, misty mountains, uncertain future
ending_sacrifice.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, heroic last stand, figure silhouetted against flames, self‑sacrifice
ending_betrayal.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, dark laboratory, child in silhouette behind bars, ominous shadows
ending_death.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, desolate alley, fallen figure, rain and darkness, tragic atmosphere
ending_rebel.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, ragtag rebels raising flag, ruined city square, gritty battle
ending_captured.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, sterile detention facility, family behind glass, authoritarian mood
ending_warlord.jpg: cinematic illustration, dark post‑apocalyptic scene with yellow and black hazard stripes or toxic symbol in the background, Italian or European setting, intense mood, high realism, dramatic lighting, concept art, masked warlord on throne, mercenary soldiers, toxic bannersd_scene1.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 1
d_scene2.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 2
d_scene3.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 3
d_scene4.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 4
d_scene5.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 5
d_scene6.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 6
d_scene7.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 7
d_scene8.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 8
d_scene9.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 9
d_scene10.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 10
d_scene11.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 11
d_scene12.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 12
d_scene13.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 13
d_scene14.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 14
d_scene15.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 15
d_scene16.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 16
d_scene17.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 17
d_scene18.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 18
d_scene19.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 19
d_scene20.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 20
d_scene21.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 21
d_scene22.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 22
d_scene23.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 23
d_scene24.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 24
d_scene25.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 25
d_scene26.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 26
d_scene27.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 27
d_scene28.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 28
d_scene29.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 29
d_scene30.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 30
d_scene31.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 31
d_scene32.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 32
d_scene33.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 33
d_scene34.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 34
d_scene35.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 35
d_scene36.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 36
d_scene37.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 37
d_scene38.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 38
d_scene39.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 39
d_scene40.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 40
d_scene41.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 41
d_scene42.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 42
d_scene43.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 43
d_scene44.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 44
d_scene45.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 45
d_scene46.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 46
d_scene47.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 47
d_scene48.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 48
d_scene49.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 49
d_scene50.jpg: cinematic illustration of a seasoned Brazilian police officer navigating a post‑apocalyptic Italian city, yellow and black hazard stripes, tense mood, dramatic lighting, concept art, scene number 50
